locus	chrom	source	feature	start	end	score	strand	frame	category	nfeats	name	cov	length
HML2_1q24.1	chr1	merged	gene	166574602	166580258	.	-	.	canonical	4	HML2_0099	5651	5656
HML2_1_0100	chr1	merged	gene	173443563	173444547	.	+	.	sololtr	1	HML2_0100	984	984
HML2_1_0101	chr1	merged	gene	188720366	188721337	.	-	.	sololtr	1	HML2_0101	971	971
HML2_1_0102	chr1	merged	gene	196077861	196078835	.	-	.	sololtr	1	HML2_0102	974	974
HML2_1_0103	chr1	merged	gene	198098813	198099807	.	-	.	sololtr	1	HML2_0103	994	994
HML2_1q32.2	chr1	merged	gene	207808456	207812636	.	-	.	oneside	4	HML2_0105	4181	4180
HML2_1_0106	chr1	merged	gene	209314535	209315518	.	+	.	sololtr	1	HML2_0106	983	983
HML2_1_0107	chr1	merged	gene	211395473	211396442	.	-	.	sololtr	1	HML2_0107	969	969
HML2_1_0108	chr1	merged	gene	219791920	219792911	.	-	.	sololtr	1	HML2_0108	991	991
HML2_1_0109	chr1	merged	gene	224527532	224528500	.	+	.	sololtr	1	HML2_0109	968	968
HML2_1_0110	chr1	merged	gene	225414304	225415293	.	-	.	sololtr	1	HML2_0110	989	989
HML2_1_0111	chr1	merged	gene	226153542	226154558	.	+	.	sololtr	1	HML2_0111	1016	1016
HML2_1_0112	chr1	merged	gene	227793716	227794722	.	-	.	sololtr	1	HML2_0112	1006	1006
HML2_1_0113	chr1	merged	gene	228056040	228057009	.	-	.	sololtr	1	HML2_0113	969	969
HML2_1_0115	chr1	merged	gene	234147555	234148565	.	-	.	sololtr	1	HML2_0115	1010	1010
HML2_1_0116	chr1	merged	gene	236667797	236668826	.	+	.	sololtr	1	HML2_0116	1029	1029
HML2_1q43	chr1	merged	gene	238925594	238927773	.	-	.	oneside	2	HML2_0117	2179	2179
HML2_1_0119	chr1	merged	gene	246245986	246246938	.	+	.	sololtr	1	HML2_0119	952	952
HML2_1_0120	chr1	merged	gene	247179084	247180044	.	-	.	sololtr	1	HML2_0120	960	960
HML2_1_0121	chr1	merged	gene	247745311	247746300	.	+	.	sololtr	1	HML2_0121	989	989
HML2_1_0122	chr1	merged	gene	249201113	249202107	.	-	.	sololtr	1	HML2_0122	994	994
HML2_2_0123	chr2	merged	gene	94045	95055	.	+	.	sololtr	1	HML2_0123	1010	1010
HML2_2_0124	chr2	merged	gene	702548	703588	.	-	.	sololtr	1	HML2_0124	1040	1040
HML2_2_0125	chr2	merged	gene	1564043	1565030	.	-	.	sololtr	1	HML2_0125	987	987
HML2_2_0126	chr2	merged	gene	3108252	3109195	.	-	.	sololtr	1	HML2_0126	943	943
HML2_2_0128	chr2	merged	gene	20701011	20701958	.	-	.	sololtr	1	HML2_0128	947	947
HML2_2_0130	chr2	merged	gene	26972732	26973739	.	+	.	sololtr	1	HML2_0130	1007	1007
HML2_2_0131	chr2	merged	gene	27682845	27683813	.	+	.	sololtr	1	HML2_0131	968	968
HML2_2_0132	chr2	merged	gene	30836337	30837305	.	-	.	sololtr	1	HML2_0132	968	968
HML2_2_0133	chr2	merged	gene	32500650	32501618	.	-	.	sololtr	1	HML2_0133	968	968
HML2_2_0134	chr2	merged	gene	37452460	37453428	.	+	.	sololtr	1	HML2_0134	968	968
HML2_2_0135	chr2	merged	gene	37977734	37978723	.	+	.	sololtr	1	HML2_0135	989	989
HML2_2_0136	chr2	merged	gene	38504925	38505902	.	+	.	sololtr	1	HML2_0136	977	977
HML2_2_0137	chr2	merged	gene	39548298	39549268	.	+	.	sololtr	1	HML2_0137	970	970
HML2_2_0138	chr2	merged	gene	55506406	55507370	.	+	.	sololtr	1	HML2_0138	964	964
HML2_2_0139	chr2	merged	gene	73346312	73347265	.	-	.	sololtr	1	HML2_0139	953	953
HML2_2_0140	chr2	merged	gene	74947081	74947627	.	+	.	sololtr	1	HML2_0140	546	546
HML2_2_0141	chr2	merged	gene	86488421	86489390	.	+	.	sololtr	1	HML2_0141	969	969
HML2_2_0142	chr2	merged	gene	89166010	89167002	.	-	.	sololtr	1	HML2_0142	992	992
HML2_2_0143	chr2	merged	gene	95410407	95411375	.	-	.	sololtr	1	HML2_0143	968	968
HML2_2_0144	chr2	merged	gene	95857087	95858117	.	+	.	sololtr	1	HML2_0144	1030	1030
HML2_2_0145	chr2	merged	gene	96232926	96233932	.	+	.	sololtr	1	HML2_0145	1006	1006
HML2_2_0146	chr2	merged	gene	98746349	98747294	.	-	.	sololtr	1	HML2_0146	945	945
HML2_2_0147	chr2	merged	gene	100886234	100887268	.	+	.	sololtr	1	HML2_0147	1034	1034
HML2_2_0148	chr2	merged	gene	101301327	101302299	.	+	.	sololtr	1	HML2_0148	972	972
HML2_2_0149	chr2	merged	gene	106041482	106042513	.	+	.	sololtr	1	HML2_0149	1031	1031
HML2_2_0150	chr2	merged	gene	110394414	110395428	.	-	.	sololtr	1	HML2_0150	1014	1014
HML2_2_0151	chr2	merged	gene	110813646	110814605	.	+	.	sololtr	1	HML2_0151	959	959
HML2_2_0152	chr2	merged	gene	111072014	111072973	.	-	.	sololtr	1	HML2_0152	959	959
HML2_2_0153	chr2	merged	gene	112720419	112721386	.	-	.	sololtr	1	HML2_0153	967	967
HML2_2_0154	chr2	merged	gene	113691830	113692798	.	+	.	sololtr	1	HML2_0154	968	968
HML2_2_0155	chr2	merged	gene	128300149	128301124	.	-	.	sololtr	1	HML2_0155	975	975
HML2_2_0156	chr2	merged	gene	130458922	130459958	.	+	.	sololtr	1	HML2_0156	1036	1036
HML2_2q21.1	chr2	merged	gene	130719537	130722617	.	-	.	oneside	3	HML2_0157	3081	3080
HML2_2_0158	chr2	merged	gene	132478772	132479795	.	+	.	sololtr	1	HML2_0158	1023	1023
HML2_2_0159	chr2	merged	gene	132932593	132933615	.	-	.	sololtr	1	HML2_0159	1022	1022
HML2_2_0160	chr2	merged	gene	135724462	135725426	.	+	.	sololtr	1	HML2_0160	964	964
HML2_2_0161	chr2	merged	gene	143452659	143453655	.	-	.	sololtr	1	HML2_0161	996	996
HML2_2_0162	chr2	merged	gene	153625591	153626586	.	-	.	sololtr	1	HML2_0162	995	995
HML2_2_0163	chr2	merged	gene	169418760	169419283	.	-	.	sololtr	1	HML2_0163	523	523
HML2_2_0165	chr2	merged	gene	171119813	171120760	.	-	.	sololtr	1	HML2_0165	947	947
HML2_2q32.1	chr2	merged	gene	187385633	187387099	.	+	.	canonical	5	HML2_0166	1466	1466
HML2_2_0167	chr2	merged	gene	193406667	193407653	.	-	.	sololtr	1	HML2_0167	986	986
HML2_2_0168	chr2	merged	gene	194007141	194008113	.	+	.	sololtr	1	HML2_0168	972	972
HML2_2_0169	chr2	merged	gene	195369065	195370020	.	-	.	sololtr	1	HML2_0169	955	955
HML2_2_0172	chr2	merged	gene	202003724	202004690	.	+	.	sololtr	1	HML2_0172	966	966
HML2_2_0173	chr2	merged	gene	207901556	207902517	.	+	.	sololtr	1	HML2_0173	961	961
HML2_2_0174	chr2	merged	gene	209064278	209064893	.	+	.	sololtr	1	HML2_0174	615	615
HML2_2_0175	chr2	merged	gene	209121480	209122467	.	-	.	sololtr	1	HML2_0175	987	987
HML2_2_0176	chr2	merged	gene	215667615	215668576	.	+	.	sololtr	1	HML2_0176	961	961
HML2_2_0177	chr2	merged	gene	218960262	218961251	.	+	.	sololtr	1	HML2_0177	989	989
HML2_2_0178	chr2	merged	gene	219175972	219176953	.	-	.	sololtr	1	HML2_0178	981	981
HML2_2_0179	chr2	merged	gene	224055238	224056161	.	+	.	sololtr	1	HML2_0179	923	923
HML2_2_0180	chr2	merged	gene	228586920	228587913	.	-	.	sololtr	1	HML2_0180	993	993
HML2_2_0181	chr2	merged	gene	229228357	229229325	.	-	.	sololtr	1	HML2_0181	968	968
HML2_2_0183	chr2	merged	gene	231708353	231709311	.	-	.	sololtr	1	HML2_0183	958	958
HML2_2_0184	chr2	merged	gene	232441494	232442454	.	+	.	sololtr	1	HML2_0184	960	960
HML2_2_0185	chr2	merged	gene	233287702	233288675	.	+	.	sololtr	1	HML2_0185	973	973
HML2_2_0186	chr2	merged	gene	235076708	235077677	.	-	.	sololtr	1	HML2_0186	969	969
HML2_2_0187	chr2	merged	gene	241610761	241611512	.	+	.	sololtr	1	HML2_0187	751	751
HML2_3_0188	chr3	merged	gene	5123311	5124245	.	-	.	sololtr	1	HML2_0188	934	934
HML2_3_0190	chr3	merged	gene	7983362	7984384	.	+	.	sololtr	1	HML2_0190	1022	1022
HML2_3p25.3	chr3	merged	gene	9889345	9896236	.	-	.	canonical	5	HML2_0191	6892	6891
HML2_3_0192	chr3	merged	gene	12715613	12716581	.	+	.	sololtr	1	HML2_0192	968	968
HML2_3_0193	chr3	merged	gene	14132684	14133652	.	-	.	sololtr	1	HML2_0193	968	968
HML2_3_0194	chr3	merged	gene	14314344	14315311	.	+	.	sololtr	1	HML2_0194	967	967
HML2_3_0195	chr3	merged	gene	15187035	15187933	.	-	.	sololtr	1	HML2_0195	898	898
HML2_3_0196	chr3	merged	gene	23586153	23587116	.	-	.	sololtr	1	HML2_0196	963	963
HML2_3_0197	chr3	merged	gene	27572735	27573760	.	+	.	sololtr	1	HML2_0197	1025	1025
HML2_3_0198	chr3	merged	gene	36182570	36183586	.	-	.	sololtr	1	HML2_0198	1016	1016
HML2_3_0199	chr3	merged	gene	38175970	38177966	.	.	.	sololtr	3	HML2_0199	1997	1996
HML2_3_0200	chr3	merged	gene	39459789	39460763	.	-	.	sololtr	1	HML2_0200	974	974
HML2_3_0201	chr3	merged	gene	42852682	42853679	.	+	.	sololtr	1	HML2_0201	997	997
HML2_3_0202	chr3	merged	gene	43299796	43300758	.	-	.	sololtr	1	HML2_0202	962	962
HML2_3_0203	chr3	merged	gene	45798282	45799216	.	-	.	sololtr	1	HML2_0203	934	934
HML2_3_0204	chr3	merged	gene	47301023	47301991	.	+	.	sololtr	1	HML2_0204	968	968
HML2_3_0205	chr3	merged	gene	49519513	49520097	.	+	.	sololtr	1	HML2_0205	584	584
HML2_3_0206	chr3	merged	gene	50557322	50558279	.	+	.	sololtr	1	HML2_0206	957	957
HML2_3_0207	chr3	merged	gene	54011540	54012508	.	-	.	sololtr	1	HML2_0207	968	968
HML2_3_0209	chr3	merged	gene	57377211	57378241	.	+	.	sololtr	1	HML2_0209	1030	1030
HML2_3_0210	chr3	merged	gene	75423313	75424330	.	-	.	sololtr	1	HML2_0210	1017	1017
HML2_3_0211	chr3	merged	gene	75442343	75443303	.	+	.	sololtr	1	HML2_0211	960	960
HML2_3p12.3a	chr3	merged	gene	75585980	75587898	.	+	.	oneside	3	HML2_0212	1668	1918
HML2_3p12.3b	chr3	merged	gene	75600464	75609150	.	+	.	canonical	3	HML2_0213	8687	8686
HML2_3_0214	chr3	merged	gene	75641822	75642851	.	-	.	sololtr	1	HML2_0214	1029	1029
HML2_3_0215	chr3	merged	gene	75694478	75695442	.	+	.	sololtr	1	HML2_0215	964	964
HML2_3_0216	chr3	merged	gene	98034982	98035960	.	-	.	sololtr	1	HML2_0216	978	978
HML2_3_0217	chr3	merged	gene	98081398	98082404	.	-	.	sololtr	1	HML2_0217	1006	1006
HML2_3_0219	chr3	merged	gene	99138601	99139126	.	+	.	sololtr	1	HML2_0219	525	525
HML2_3_0220	chr3	merged	gene	99991337	99992289	.	-	.	sololtr	1	HML2_0220	952	952
HML2_3_0221	chr3	merged	gene	100055169	100056135	.	-	.	sololtr	1	HML2_0221	966	966
HML2_3_0222	chr3	merged	gene	100384984	100385941	.	-	.	sololtr	1	HML2_0222	957	957
HML2_3q12.3	chr3	merged	gene	101410736	101419859	.	+	.	canonical	4	HML2_0223	9124	9123
HML2_3_0224	chr3	merged	gene	101422676	101423645	.	-	.	sololtr	1	HML2_0224	969	969
HML2_3_0225	chr3	merged	gene	110085899	110086895	.	+	.	sololtr	1	HML2_0225	996	996
HML2_3_0226	chr3	merged	gene	111870855	111871847	.	-	.	sololtr	1	HML2_0226	992	992
HML2_3_0227	chr3	merged	gene	112282926	112283856	.	-	.	sololtr	1	HML2_0227	930	930
HML2_3q13.2	chr3	merged	gene	112743123	112752282	.	-	.	canonical	4	HML2_0228	9160	9159
HML2_3_0229	chr3	merged	gene	118258696	118259686	.	-	.	sololtr	1	HML2_0229	990	990
HML2_3_0230	chr3	merged	gene	121329950	121330949	.	-	.	sololtr	1	HML2_0230	999	999
HML2_3_0231	chr3	merged	gene	125449295	125450311	.	+	.	sololtr	1	HML2_0231	1016	1016
HML2_3_0232	chr3	merged	gene	125471876	125472904	.	+	.	sololtr	1	HML2_0232	1028	1028
HML2_3q21.2a	chr3	merged	gene	125518093	125520004	.	-	.	oneside	3	HML2_0233	1665	1911
HML2_3q21.2b	chr3	merged	gene	125609301	125618439	.	+	.	canonical	5	HML2_0234	9139	9138
HML2_3_0236	chr3	merged	gene	127130495	127131465	.	-	.	sololtr	1	HML2_0236	970	970
HML2_3_0237	chr3	merged	gene	129360094	129360905	.	-	.	sololtr	2	HML2_0237	812	811
HML2_3_0238	chr3	merged	gene	129734417	129735430	.	-	.	sololtr	1	HML2_0238	1013	1013
HML2_3_0239	chr3	merged	gene	129757129	129758142	.	-	.	sololtr	1	HML2_0239	1013	1013
HML2_3_0240	chr3	merged	gene	129776131	129777108	.	+	.	sololtr	1	HML2_0240	977	977
HML2_3_0241	chr3	merged	gene	129842182	129843190	.	-	.	sololtr	1	HML2_0241	1008	1008
HML2_3q22.1	chr3	merged	gene	129930614	129931625	.	+	.	oneside	3	HML2_0242	762	1011
HML2_3_0243	chr3	merged	gene	132367640	132368636	.	+	.	sololtr	1	HML2_0243	996	996
HML2_3_0244	chr3	merged	gene	134234780	134235732	.	-	.	sololtr	1	HML2_0244	952	952
HML2_3_0245	chr3	merged	gene	142470886	142471916	.	-	.	sololtr	1	HML2_0245	1030	1030
HML2_3_0246	chr3	merged	gene	145427035	145428001	.	-	.	sololtr	1	HML2_0246	966	966
HML2_3_0247	chr3	merged	gene	146240051	146241018	.	+	.	sololtr	1	HML2_0247	967	967
HML2_3q24	chr3	merged	gene	148281476	148285396	.	-	.	soloint	1	HML2_0248	3920	3920
HML2_3_0250	chr3	merged	gene	175623337	175624305	.	-	.	sololtr	1	HML2_0250	968	968
HML2_3_0253	chr3	merged	gene	182887768	182888795	.	+	.	sololtr	1	HML2_0253	1027	1027
HML2_3_0254	chr3	merged	gene	183228711	183229715	.	-	.	sololtr	1	HML2_0254	1004	1004
HML2_3_0255	chr3	merged	gene	183238140	183239136	.	-	.	sololtr	1	HML2_0255	996	996
HML2_3q27.2	chr3	merged	gene	185280335	185289515	.	-	.	canonical	4	HML2_0256	9181	9180
HML2_3_0257	chr3	merged	gene	186583393	186584275	.	-	.	sololtr	1	HML2_0257	882	882
HML2_3_0258	chr3	merged	gene	186604662	186605623	.	-	.	sololtr	1	HML2_0258	961	961
HML2_3_0259	chr3	merged	gene	186611008	186611975	.	+	.	sololtr	1	HML2_0259	967	967
HML2_3_0260	chr3	merged	gene	188969159	188970127	.	-	.	sololtr	1	HML2_0260	968	968
HML2_3_0261	chr3	merged	gene	195454969	195455963	.	-	.	sololtr	1	HML2_0261	994	994
HML2_3_0262	chr3	merged	gene	195654395	195655363	.	-	.	sololtr	1	HML2_0262	968	968
HML2_3_0263	chr3	merged	gene	196670950	196671899	.	+	.	sololtr	1	HML2_0263	949	949
HML2_3_0264	chr3	merged	gene	196688911	196689921	.	+	.	sololtr	1	HML2_0264	1010	1010
HML2_4_0265	chr4	merged	gene	19026	20027	.	+	.	sololtr	1	HML2_0265	1001	1001
HML2_4_0266	chr4	merged	gene	40541	41495	.	-	.	sololtr	1	HML2_0266	954	954
HML2_4_0267	chr4	merged	gene	145520	146488	.	-	.	sololtr	1	HML2_0267	968	968
HML2_4_0268	chr4	merged	gene	201588	202555	.	-	.	sololtr	1	HML2_0268	967	967
HML2_4p16.3a	chr4	merged	gene	234988	239459	.	.	.	canonical	5	HML2_0269	4364	4471
HML2_4_0270	chr4	merged	gene	2023076	2024069	.	+	.	sololtr	1	HML2_0270	993	993
HML2_4_0271	chr4	merged	gene	3885077	3886079	.	-	.	sololtr	1	HML2_0271	1002	1002
HML2_4_0272	chr4	merged	gene	3907047	3908062	.	-	.	sololtr	1	HML2_0272	1015	1015
HML2_4_0273	chr4	merged	gene	3927369	3928336	.	+	.	sololtr	1	HML2_0273	967	967
HML2_4p16.3b	chr4	merged	gene	3979050	3988639	.	-	.	canonical	3	HML2_0274	9590	9589
HML2_4p16.3c	chr4	merged	gene	4075123	4077040	.	+	.	oneside	3	HML2_0275	1672	1917
HML2_4_0276	chr4	merged	gene	4122035	4123065	.	-	.	sololtr	1	HML2_0276	1030	1030
HML2_4_0277	chr4	merged	gene	4152236	4153252	.	-	.	sololtr	1	HML2_0277	1016	1016
HML2_4_0278	chr4	merged	gene	8957305	8958320	.	+	.	sololtr	1	HML2_0278	1015	1015
HML2_4_0279	chr4	merged	gene	8989127	8990152	.	+	.	sololtr	1	HML2_0279	1025	1025
HML2_4p16.1a	chr4	merged	gene	9036142	9038072	.	-	.	oneside	3	HML2_0280	1679	1930
HML2_4p16.1b	chr4	merged	gene	9123511	9133093	.	+	.	canonical	3	HML2_0281	9583	9582
HML2_4_0282	chr4	merged	gene	9178508	9179540	.	-	.	sololtr	1	HML2_0282	1032	1032
HML2_4_0283	chr4	merged	gene	9466932	9467944	.	+	.	sololtr	1	HML2_0283	1012	1012
HML2_4_0284	chr4	merged	gene	9491331	9492346	.	+	.	sololtr	1	HML2_0284	1015	1015
HML2_4_0285	chr4	merged	gene	9520501	9521531	.	+	.	sololtr	1	HML2_0285	1030	1030
HML2_4p16.1c	chr4	merged	gene	9568937	9570848	.	-	.	oneside	3	HML2_0286	1663	1911
HML2_4p16.1d	chr4	merged	gene	9659579	9669174	.	+	.	canonical	3	HML2_0287	9596	9595
HML2_4_0288	chr4	merged	gene	9733397	9734315	.	-	.	sololtr	1	HML2_0288	918	918
HML2_4_0289	chr4	merged	gene	9752676	9753689	.	+	.	sololtr	1	HML2_0289	1013	1013
HML2_4_0290	chr4	merged	gene	10129000	10129928	.	-	.	sololtr	1	HML2_0290	928	928
HML2_4_0291	chr4	merged	gene	15880169	15881177	.	+	.	sololtr	1	HML2_0291	1008	1008
HML2_4_0292	chr4	merged	gene	16078280	16079255	.	+	.	sololtr	1	HML2_0292	975	975
HML2_4_0293	chr4	merged	gene	22599385	22600359	.	-	.	sololtr	1	HML2_0293	974	974
HML2_4_0294	chr4	merged	gene	30234526	30235535	.	-	.	sololtr	1	HML2_0294	1009	1009
HML2_4_0295	chr4	merged	gene	43003650	43004678	.	-	.	sololtr	1	HML2_0295	1028	1028
HML2_4_0296	chr4	merged	gene	48287372	48288348	.	-	.	sololtr	1	HML2_0296	976	976
